ID,Cloud,SL (mm)
01COPE-0001,COPE-M-01,14
01COPE-0002,COPE-M-01,16
01COPE-0003,COPE-M-01,15
01COPE-0004,COPE-M-01,15
01COPE-0005,COPE-M-01,9
01COPE-0006,COPE-M-01,15
01COPE-0007,COPE-M-01,9
01COPE-0008,COPE-M-01,13
01COPE-0009,COPE-M-01,9
01COPE-0010,COPE-M-01,16
01COPE-0011,COPE-M-01,13
01COPE-0012,COPE-M-01,7
01COPE-0013,COPE-M-01,10
01COPE-0014,COPE-M-01,17
01COPE-0015,COPE-M-01,12
01COPE-0016,COPE-M-01,8
01COPE-0017,COPE-M-01,20
01COPE-0018,COPE-M-01,15
01COPE-0019,COPE-M-01,9
01COPE-0020,COPE-M-01,13
01COPE-0021,COPE-M-01,12
01COPE-0022,COPE-M-01,16
01COPE-0023,COPE-M-01,9
01COPE-0024,COPE-M-01,13
01COPE-0025,COPE-M-01,15
01COPE-0026,COPE-M-01,14
01COPE-0027,COPE-M-01,12
01COPE-0028,COPE-M-01,13
01COPE-0029,COPE-M-01,9
03COPE-0030,COPE-M-03,21
03COPE-0031,COPE-M-03,9
03COPE-0032,COPE-M-03,13
03COPE-0033,COPE-M-03,14
03COPE-0034,COPE-M-03,13
03COPE-0035,COPE-M-03,15
03COPE-0036,COPE-M-03,7
03COPE-0037,COPE-M-03,12
03COPE-0038,COPE-M-03,8
03COPE-0039,COPE-M-03,7
03COPE-0040,COPE-M-03,8
03COPE-0041,COPE-M-03,8
03COPE-0042,COPE-M-03,9
03COPE-0043,COPE-M-03,8
03COPE-0044,COPE-M-03,14
03COPE-0045,COPE-M-03,9
03COPE-0046,COPE-M-03,9
03COPE-0047,COPE-M-03,8
03COPE-0048,COPE-M-03,8
05COPE-0049,COPE-M-05,12
05COPE-0050,COPE-M-05,16
05COPE-0051,COPE-M-05,7
05COPE-0052,COPE-M-05,7
05COPE-0053,COPE-M-05,7
05COPE-0054,COPE-M-05,7
05COPE-0055,COPE-M-05,7
05COPE-0056,COPE-M-05,15
05COPE-0057,COPE-M-05,6
05COPE-0058,COPE-M-05,13
05COPE-0059,COPE-M-05,9
05COPE-0060,COPE-M-05,6
05COPE-0061,COPE-M-05,9
05COPE-0062,COPE-M-05,8
05COPE-0063,COPE-M-05,8
05COPE-0064,COPE-M-05,6
05COPE-0065,COPE-M-05,6
05COPE-0066,COPE-M-05,8
05COPE-0067,COPE-M-05,8
05COPE-0068,COPE-M-05,8
05COPE-0069,COPE-M-05,6
05COPE-0070,COPE-M-05,7
05COPE-0071,COPE-M-05,6
05COPE-0072,COPE-M-05,7
05COPE-0073,COPE-M-05,8
05COPE-0074,COPE-M-05,6
05COPE-0075,COPE-M-05,6
05COPE-0076,COPE-M-05,7
05COPE-0077,COPE-M-05,6
05COPE-0078,COPE-M-05,6
05COPE-0079,COPE-M-05,6
05COPE-0080,COPE-M-05,6
05COPE-0081,COPE-M-05,7
05COPE-0082,COPE-M-05,7
05COPE-0083,COPE-M-05,6
05COPE-0084,COPE-M-05,6
05COPE-0085,COPE-M-05,6
05COPE-0086,COPE-M-05,6
05COPE-0087,COPE-M-05,6
05COPE-0088,COPE-M-05,6
14COPE-0089,COPE-M-14,22
14COPE-0090,COPE-M-14,16
14COPE-0091,COPE-M-14,15
14COPE-0092,COPE-M-14,7
14COPE-0093,COPE-M-14,18
14COPE-0094,COPE-M-14,13
14COPE-0095,COPE-M-14,8
14COPE-0096,COPE-M-14,12
14COPE-0097,COPE-M-14,7
14COPE-0098,COPE-M-14,14
14COPE-0099,COPE-M-14,6
14COPE-0100,COPE-M-14,7
14COPE-0101,COPE-M-14,13
14COPE-0102,COPE-M-14,6
14COPE-0103,COPE-M-14,14
14COPE-0104,COPE-M-14,19
14COPE-0105,COPE-M-14,9
14COPE-0106,COPE-M-14,10
14COPE-0107,COPE-M-14,7
14COPE-0108,COPE-M-14,15
14COPE-0109,COPE-M-14,16
14COPE-0110,COPE-M-14,7
14COPE-0111,COPE-M-14,11
14COPE-0112,COPE-M-14,6
14COPE-0113,COPE-M-14,11
14COPE-0114,COPE-M-14,6
14COPE-0115,COPE-M-14,8
14COPE-0116,COPE-M-14,7
14COPE-0117,COPE-M-14,6
14COPE-0118,COPE-M-14,6
08COPE-0119,COPE-M-08,13
08COPE-0120,COPE-M-08,9
08COPE-0121,COPE-M-08,7
08COPE-0122,COPE-M-08,9
08COPE-0123,COPE-M-08,6
08COPE-0124,COPE-M-08,9
08COPE-0125,COPE-M-08,7
08COPE-0126,COPE-M-08,9
08COPE-0127,COPE-M-08,7
08COPE-0128,COPE-M-08,8
08COPE-0129,COPE-M-08,6
08COPE-0130,COPE-M-08,15
08COPE-0131,COPE-M-08,8
08COPE-0132,COPE-M-08,8
08COPE-0133,COPE-M-08,6
08COPE-0134,COPE-M-08,6
08COPE-0135,COPE-M-08,8
08COPE-0136,COPE-M-08,9
08COPE-0137,COPE-M-08,7
08COPE-0138,COPE-M-08,7
08COPE-0139,COPE-M-08,8
08COPE-0140,COPE-M-08,8
08COPE-0141,COPE-M-08,7
08COPE-0142,COPE-M-08,6
08COPE-0143,COPE-M-08,7
08COPE-0144,COPE-M-08,6
08COPE-0145,COPE-M-08,7
08COPE-0146,COPE-M-08,6
08COPE-0147,COPE-M-08,7
08COPE-0148,COPE-M-08,7
08COPE-0149,COPE-M-08,7
10COPE-0150,COPE-M-10,12
10COPE-0151,COPE-M-10,15
10COPE-0152,COPE-M-10,8
10COPE-0153,COPE-M-10,10
10COPE-0154,COPE-M-10,7
10COPE-0155,COPE-M-10,8
10COPE-0156,COPE-M-10,5
10COPE-0157,COPE-M-10,6
10COPE-0158,COPE-M-10,15
10COPE-0159,COPE-M-10,6
10COPE-0160,COPE-M-10,14
10COPE-0161,COPE-M-10,6
10COPE-0162,COPE-M-10,6
10COPE-0163,COPE-M-10,6
10COPE-0164,COPE-M-10,7
10COPE-0165,COPE-M-10,6
10COPE-0166,COPE-M-10,7
10COPE-0167,COPE-M-10,6
10COPE-0168,COPE-M-10,7
10COPE-0169,COPE-M-10,13
10COPE-0170,COPE-M-10,6
10COPE-0171,COPE-M-10,12
10COPE-0172,COPE-M-10,6
10COPE-0173,COPE-M-10,6
10COPE-0174,COPE-M-10,6
