Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
01COPE-0001,COPE-M-01,P1,111,111,170,170,NA,NA,152,158,NA,NA,293,293,164,164,144,144,287,287
01COPE-0002,COPE-M-01,P1,235,239,170,174,330,334,148,150,216,218,293,293,166,166,166,174,287,289
01COPE-0003,COPE-M-01,P1,267,327,170,170,176,176,150,152,258,258,293,293,166,166,136,158,287,289
01COPE-0004,COPE-M-01,P1,263,403,174,182,180,180,150,150,304,304,291,291,166,166,162,168,287,287
01COPE-0005,COPE-M-01,P1,131,131,170,170,174,174,150,152,282,282,293,293,166,168,174,174,283,287
01COPE-0006,COPE-M-01,P1,207,215,170,170,170,170,150,150,NA,NA,293,293,166,168,160,164,287,289
01COPE-0007,COPE-M-01,P1,127,131,170,182,260,260,150,150,282,282,293,295,166,166,164,168,283,287
01COPE-0008,COPE-M-01,P1,203,231,170,170,174,174,150,152,NA,NA,293,293,166,166,168,168,287,287
01COPE-0009,COPE-M-01,P1,195,227,162,162,236,236,148,152,284,284,293,293,162,166,158,158,287,293
01COPE-0010,COPE-M-01,P1,167,259,170,174,NA,NA,148,150,280,284,293,293,166,166,154,154,287,287
01COPE-0011,COPE-M-01,P1,111,111,174,174,184,184,154,156,224,224,NA,NA,164,168,178,178,287,287
01COPE-0012,COPE-M-01,P1,231,231,170,186,244,244,150,152,NA,NA,293,295,166,166,158,158,NA,NA
01COPE-0013,COPE-M-01,P1,271,291,166,170,176,176,148,150,NA,NA,293,293,166,166,158,158,287,289
01COPE-0014,COPE-M-01,P1,227,271,170,170,260,260,148,152,NA,NA,285,293,166,166,164,174,287,291
01COPE-0015,COPE-M-01,P1,135,295,170,174,NA,NA,150,152,NA,NA,293,293,166,166,156,164,287,291
01COPE-0016,COPE-M-01,P1,227,227,166,178,NA,NA,150,150,280,280,293,295,166,166,158,166,287,289
01COPE-0017,COPE-M-01,P1,111,111,166,170,212,212,152,152,NA,NA,293,293,164,168,164,164,287,287
01COPE-0018,COPE-M-01,P1,207,275,166,170,278,278,150,150,284,284,293,293,166,166,160,160,287,287
01COPE-0019,COPE-M-01,P1,151,151,162,162,184,184,150,150,NA,NA,293,293,166,166,156,160,287,289
01COPE-0020,COPE-M-01,P1,131,167,158,162,NA,NA,150,152,NA,NA,293,293,166,166,158,164,281,287
01COPE-0021,COPE-M-01,P1,131,247,158,166,170,178,150,150,284,284,293,293,166,166,156,164,287,287
01COPE-0022,COPE-M-01,P1,179,195,170,170,208,208,150,152,NA,NA,293,293,166,166,166,166,287,287
01COPE-0023,COPE-M-01,P1,175,251,174,178,196,196,148,150,380,380,293,293,166,166,164,164,285,287
01COPE-0024,COPE-M-01,P1,131,131,166,166,248,248,150,150,258,258,293,293,166,166,NA,NA,287,287
01COPE-0025,COPE-M-01,P1,119,187,166,174,188,188,150,154,NA,NA,293,293,166,166,158,180,283,287
01COPE-0026,COPE-M-01,P1,211,243,170,170,180,180,150,150,282,282,295,295,166,166,156,168,287,291
01COPE-0027,COPE-M-01,P1,139,151,166,170,168,168,150,150,282,282,293,293,166,166,158,158,287,287
01COPE-0028,COPE-M-01,P1,187,383,170,170,318,318,150,150,NA,NA,295,295,166,166,156,164,289,289
01COPE-0029,COPE-M-01,P1,227,287,170,182,NA,NA,150,150,280,280,293,297,166,166,172,172,291,293
03COPE-0030,COPE-M-03,P1,103,111,NA,NA,NA,NA,150,154,NA,NA,293,293,164,168,168,176,285,287
03COPE-0031,COPE-M-03,P1,135,135,170,170,268,268,150,152,NA,NA,293,297,166,166,160,168,287,287
03COPE-0032,COPE-M-03,P1,251,499,174,174,180,180,148,152,282,282,293,293,166,166,156,166,287,287
